,dutch,english,chapter
513, zwart(e),black,
514, ,,2.1 Eten en drinken
515,"de aardappel, de aardappels",potato,
516,"het ei, de eieren",egg,
517,het fruit,fruit,
519,"de groente, de groentes",vegetable,
520,"de kaas, de kazen",cheese,
521,"de kip, de kippen",chicken,
522,de koffie,coffee,
523,de melk,milk,
524,de rijst,rice,
525,de thee,tea,
526,"de vis, de vissen",fish,
527,het vlees,meat,
528, ,,"2.2 Ontbijt, lunch en avondeten"
529,het avondeten,supper,
530,"het glas, de glazen",glass,
531,de lunch,lunch,
532, meestal,mostly,
533,het ontbijt,breakfast,
534, ’s avonds,in the evening,
535, ’s middags,in the afternoon,
536, ’s ochtends,in the morning,
537,de suiker,sugar,
538,de wijn,wine,
539, ,,2.3 Ik drink melk.
540, allerlei,all kinds of,
541, helemaal,completely,
542, nogal,rather,
543, nooit,never,
544, samen,together,
545, steeds,ever,
546, vaak,often,
547, vooral,especially,
548, ,,2.4 Aard-ap-pel
549,"de bakker, de bakkers",baker,
550,"de bloempot, de bloempotten",flowerpot,
551, ongeveer,approximately,
552,"de slager, de slagers",butcher,
553,"de supermarkt, de supermarkten",supermarket,
554," verdelen, verdeelde(n), hebben verdeeld",to divide,
556, ,,2.5 Maanden en seizoenen
557, april,April,
558, augustus,August,
559, december,December,
560, februari,February,
561,de herfst,autumn,
562, januari,January,
563, juli,July,
564, juni,June,
565,de lente,spring,
566, maart,March,
567, mei,May,
568, november,November,
569, oktober,October,
570,"het seizoen, de seizoenen",season,
571, september,September,
572,de winter,winter,
573,de zomer,summer,
574, ,,2.6 Op de markt
575, alstublieft,please,
576,"de appel, de appels",apple,
577,"de beurt, de beurten",turn,
578, goedkoop / goedkope,cheap,
579, graag,gladly,
580,de gram,gram,
581,"de groenteman, de groentemannen",greengrocer,
582,"de helft, de helften",half,
583, inderdaad,indeed,
584,de kilo,kilo,
585," kosten, kostte(n), hebben gekost",to cost,
586, meer,more,
587, minder,less,
588,de ons,ounce,
589,het pond,pound,
590, prettig(e),pleasant,
591,"het tasje, de tasjes",pocket,
592," wensen, wenste(n), hebben gewenst",to wish,
593,"de zak, de zakken",sackful,
595, ,,2.7 In de supermarkt
596," beginnen, begon(nen), zijn begonnen",to begin,
597,"de bon, de bonnen",coupon,
598, daarna,then,
599,"de kassa, de kassa’s",cash register,
600,"de korting, de kortingen",discount,
601, meteen,immediately,
602, natuurlijk,of course,
603,"de pas, de passen",cash card,
604," pinnen, pinde(n), hebben gepind",to pay with a cash card,
605, sorry,excuse me,
606,"de spaarkaart, de spaarkaarten",savings card,
607," sparen, spaarde(n), hebben gespaard",to save,
608,"de verkoopster, de verkoopsters",saleswoman,
609," vinden, vond(en), hebben gevonden",to find,
610," vragen, vroeg(en), hebben gevraagd",to ask,
611,"het zegeltje, de zegeltjes",stamp,
612, ,,2.8 Cijfers en getallen
613,"het cijfer, de cijfers",figure,
614, dertien,thirteen,
615, dertig,thirty,
616, elf,eleven,
617,"de geboortedatum, de geboortedatums",date of birth,
618,"het getal, de getallen",number,
619, honderd,hundred,
620,"het huisnummer, de huisnummers",house number,
621, negentig,ninety,
622,"de postcode, de postcodes",zip code,
623, tachtig,eighty,
624,"het telefoonnummer, de telefoonnummers",telephone number,
625,"het tiental, de tientallen",ten,
626, twaalf,twelve,
627, twintig,twenty,
628, veertien,fourteen,
629, veertig,forty,
630, vijftig,fifty,
631, zestig,sixty,
632, zeventig,seventy,
634, ,,"2.9 Boek-boeken, tafel-tafels"
635,"de druif, de druiven",grape,
636,"de klank, de klanken",sound,
637,"de poes, de poezen",cat,
638,"de regel, de regels",rule,
639,"de sok, de sokken",sock,
640,"het verhaal, de verhalen",story,
641, ,,2.11 Zinnen maken (1)
642,"de boterham, de boterhammen",sandwich,
643, dan,then,
644,de ham,ham,
645,de jam,jam,
646,"de persoon, de personen",person,
647,de rest,rest,
648, ten slotte,"Finally,",
649, ,,3.1 Met de taxi
650,"de chauffeur, de chauffeurs",driver,
651," instappen, stapte(n) in, zijn ingestapt",to get in,
652,"de kilometer, de kilometers",kilometer,
653,"de metro, de metro’s",underground,
654,het openbaar vervoer,public transport,
655," reizen, reisde(n), hebben/zijn gereisd",to travel,
656,"de taxi, de taxi’s",taxi,
657,"de tram, de trams",tram,
658,het vervoer,transport,
659, ,,3.2 Regels in het verkeer
660,"de autoweg, de autowegen",freeway,
661," bereiken, bereikte(n), hebben bereikt",to reach,
662,"het bord, de borden",road sign,
663,"het dorp, de dorpen",village,
664,"zich ergens aan houden, hield(en), hebben gehouden",to comply,
665,"de fietser, de fietsers",cyclist,
666,"het fietspad, de fietspaden",bicycle path,
667," gebeuren, gebeurde(n), zijn gebeurd",to happen,
668," mogen, mocht(en), hebben gemogen",to may,
669,"het ongeluk, de ongelukken",accident,
670, per,per,
672,"de snelweg, de snelwegen",highway,
673,"de stad, de steden",city,
674, veilig(e),safe,
675," verbieden, verbood, verboden, hebben verboden",to prohibit,
676,het verkeer,traffic,
677, ,,3.3 De tijd
678, half / halve,half,
679,het halfuur,half hour,
680, Hoe laat is het?,What time is it?,
681, kwart,quarter,
682,"het kwartier, de kwartieren",quarter,
683,"de minuut, de minuten",minute,
684,"de seconde, de seconden / secondes",second,
685," vertrekken, vertrok(ken), zijn vertrokken",to leave,
686, wanneer,when,
687, ,,3.4 Reizen met de trein
688,"de conducteur, de conducteurs",conductor,
689, dus,so,
690,"de ingang, de ingangen",entrance,
691," missen, miste(n), hebben gemist",to miss,
692," nemen, nam(en), hebben genomen",to take,
693, overal,everywhere,
694," overstappen, stapte(n) over, zijn overgestapt",to transfer,
695,"de reis, de reizen",journey,
696,"de sneltrein, de sneltreinen",express train,
697,"het spoor, de sporen",track,
698,"het station, de stations",station,
699," stoppen, stopte(n), hebben/zijn gestopt",to stop,
700,"de stoptrein, de stoptreinen",slow train,
701, ,,"3.5 Wie, wat, waar?"
702, hoe,how,
703, hoeveel,how much,
704,"de kast, de kasten",cupboard,
705,"de lengte, de lengtes",length,
706,"het paar, de paren",pair,
707,"de reden, de redenen",reason,
708,"de schoen, de schoenen",shoe,
710,"de sleutel, de sleutels",key,
711, waar,where,
712, waarom,why,
713, wat,what,
714, welke,which,
715, wie,who,
716, ,,3.6 Komen en gaan
717, beneden,down,
718,"de bushalte, de bushaltes",bus stop,
719," gaan, ging(en), zijn gegaan",to go,
720," komen, kwam(en), zijn gekomen",to come,
721, tegenwoordig(e),nowadays,
722,"de trap, de trappen",stairway,
723,"de uitgang, de uitgangen",exit,
724,"de wedstrijd, de wedstrijden",game,
725, ,,3.7 Reizen met de auto
726,"de afstand, de afstanden",distance,
727,"de file, de files",traffic jam,
728, ieder(e),each,
729, pas,ultimately,
730,"de radio, de radio’s",radio,
731, vervelend(e),annoying,
732, ,,"3.8 Noord, Oost, Zuid, West"
733,"het eiland, de eilanden",island,
734,"de kaart, de kaarten",map,
735, Noord,North,
736,het noorden,north,
737, Oost,East,
738,"de provincie, de provincies",province,
739,"de richting, de richtingen",direction,
740, West,West,
741, Zuid,South,
742,het zuiden,south,
743, ,,3.9 De weg vragen
744," de weg vragen, vroeg(en), hebben gevraagd",to ask for directions,
745," de weg wijzen, wees, wezen, hebben gewezen",to give directions,
747, eerst(e),first,
748, graag gedaan,you're welcome,
749,"het kruispunt, de kruispunten",intersection,
750, links,left,
751, linksaf,to the left,
752," oversteken, stak(en) over, hebben/zijn",to cross,
753, rechtdoor,straight,
754, rechts,right,
755, rechtsaf,to the right,
756, ver / verre,far,
757, ,,3.1 Klemtoon
758, binnenkort,shortly,
759, centraal / centrale,central,
760, duidelijk(e),clear,
761,de liefde,love,
762," proberen, probeerde(n), hebben geprobeerd",to try,
763," wachten, wachtte(n), hebben gewacht",to wait,
764, ,,3.11 Woorden leren
765, eigen,own,
766, hardop,aloud,
767," horen bij, hoorde(n), hebben gehoord",to belong to,
768," raden, raadde(n), hebben geraden",to guess,
769," te maken hebben met, had(den), hebben gehad",to have to do with,
770," uit je hoofd leren, leerde(n), hebben geleerd",to learn by heart,
771, ,,4.1 Het huis
772, allebei,both,
773,"het appartement, de appartementen",apartment,
774,"de badkamer, de badkamers",bathroom,
775,de buren,neighbours,
776,"de buurman, de buurmannen",neighbour (male),
777,"de buurvrouw, de buurvrouwen",neighbour (female),
778,"de flat, de flats",flat,
779,"de garage, de garages",garage,
780,"de keuken, de keukens",kitchen,
781,"de rij, de rijen",row,
782,"de ruimte, de ruimtes",room,
783,"de schuur, de schuren",barn,
785,"de slaapkamer, de slaapkamers",bedroom,
786,"het toilet, de toiletten",toilet,
787,"de tuin, de tuinen",garden,
788,"de wc, de wc’s",lavatory,
789,"de woonkamer, de woonkamers",living room,
790, ,,4.2 Zinnen maken (2)
791," brengen, bracht(en), hebben gebracht",to bring,
792,"de handtekening, de handtekeningen",signature,
793, misschien,maybe,
794,de natuur,nature,
795,"de pizza, de pizza’s",pizza,
796, plotseling(e),suddenly,
797," schrikken, schrok(ken), zijn geschrokken",to scare,
798," sturen, stuurde(n), hebben gestuurd",to send,
799, ,,4.3 Lang niet gezien
800,"het balkon, de balkons",balcony,
801, elkaar,each other,
802, geleden,ago,
803," klinken, klonk(en), hebben geklonken",to sound,
804," lijken, leek, leken, hebben geleken",to seem,
805,"de verdieping, de verdiepingen",floor,
806," verhuizen, verhuisde(n), hebben/zijn verhuisd",to move,
807, vorig(e),last,
808, ,,4.4 Gaat hij naar zijn werk?
809," beloven, beloofde(n), hebben beloofd",to promise,
810," duren, duurde(n), heeft geduurd",to last,
811,"de eigenaar, de eigenaars / eigenaren",owner,
812,"het gezin, de gezinnen",family,
813," herinneren, herinnerde(n), hebben herinnerd",to remember,
814,De overkant,other side,
815, serieus / serieuze,serious,
816," snappen, snapte(n), hebben gesnapt",to understand,
817," verplaatsen, verplaatste(n), hebben verplaatst",to move,
818,"het vliegtuig, de vliegtuigen",airplane,
820, ,,"4.5 Nee, hij gaat niet."
821, bijzonder(e),special,
822, dicht(e),closed,
823, geen,no,
824,"de grap, de grappen",joke,
825, lastig(e),difficult,
826, negatief / negatieve,negative,
827, niet,not,
828,"de relatie, de relaties",relationship,
829," verbazen, verbaasde(n), hebben verbaasd",to astonish,
830," vertrouwen, vertrouwde(n), hebben vertrouwd",to trust,
831, ,,4.6 Huren en kopen
832,"de belasting, de belastingen",tax,
833,de elektriciteit,electricity,
834,het gas,gas,
835,"de gemeente, de gemeentes",municipality,
836," huren, huurde(n), hebben gehuurd",to rent,
837,"het huurhuis, de huurhuizen",rented house,
838,"het inkomen, de inkomens",income,
839,"zich inschrijven, schreef in, schreven in, hebben",to register,
840,"de krant, de kranten",newspaper,
841," lenen, leende(n), hebben geleend",to loan,
842," reageren, reageerde(n), hebben gereageerd",to react,
843, sociaal / sociale,social,
844, speciaal / speciale,special,
845,"de vereniging, de verenigingen",association,
846,"de wachtlijst, de wachtlijsten",waiting-list,
847,"de woning, de woningen",house,
848, ,,4.7 Inschrijven voor een huurhuis
849,"de achternaam, de achternamen",surname,
850, buitenlands,foreign,
851,"de e-mail, de e-mails",e-mail,
852," eruitzien, zag(en) eruit, hebben eruitgezien",to look like,
853,"het formulier, de formulieren",form,
854,de gegevens,data,
855,"het geslacht, de geslachten",gender,
856, overdag,in the daytime,
857,"de voorletter, de voorletters",initial,
859,"de woonplaats, de woonplaatsen",place of residency,
860, ,,4.8 Goed voor het milieu!
861,het afval,garbage,
862,"de bak, de bakken",bin,
863,"de douche, de douches",shower,
864,"de fles, de flessen",bottle,
865,"de glasbak, de glasbakken",glass recycling bin,
866," gooien, gooide(n), hebben gegooid",to throw,
867,het milieu,environment,
868,het papier,paper,
869," scheiden, scheidde(n), hebben/zijn gescheiden",to separate,
870,"de verwarming, de verwarmingen",heating,
871, zuinig(e),thrifty,
872, ,,4.9 Het dak is kapot
873, hoelang,how long,
874, kapot(te),broken,
875," lekken, lekte(n), hebben gelekt",to leak,
876, net,just,
877," repareren, repareerde(n), hebben gerepareerd",to repair,
878, zo snel mogelijk,as quick as possible,
879, ,,4.1 Huiswerk maken
880, belangrijk(e),important,
881,het huiswerk,homework,
882, rustig(e),calm,
883,"de telefoon, de telefoons",phone,
884,"de tip, de tips",suggestion,
