,dutch,english,chapter
314, vroeger(e),earlier,
315, ,,4.2 Woorden
316," bekijken, bekeek, bekeken, hebben bekeken",to see,
317, gisteren,yesterday,
318, kort(e),short,
319, lang(e),long,
320, mooi(e),beautiful,
321, morgen,tomorrow,
322,"de taal, de talen",language,
323, thuis,at home,
324,"de vakantie, de vakantie",holiday,
325, vanavond,tonight,
326, vandaag,today,
327, vrij(e),free,
328, ,,4.3 Woorden
329,"het contact, de contacten",contact,
330, druk(ke),busy,
331,"het gesprek, de gesprekken",conversation,
332, hoog / hoge,high,
333,het internet,Internet,
334, laag / lage,low,
335," leren, leerde(n), hebben geleerd",to learn,
336,"het probleem, de problemen",problem,
337, stil(le),silent,
338," tekenen, tekende(n), hebben getekend",to draw,
339," vallen, viel(en), zijn gevallen",to fall,
340,"de website, de websites",website,
341, ,,4.4 Woorden
342," begrijpen, begreep, begrepen, hebben begrepen",to understand,
343,de dood,death,
344, half / halve,half,
345, iemand,someone,
346,"het leven, de levens",life,
347," moeten, moest(en), hebben gemoeten",to must,
348, niemand,nobody,
349,de politie,police,
350," roken, rookte(n), hebben gerookt",to smoke,
351, slecht(e),bad,
352," zingen, zong(en), hebben gezongen",to sing,
353," zorgen voor, zorgde(n), hebben gezorgd",to take care,
354, ,,4.5 Woorden
355, alles,everything,
356," gebruiken, gebruikte(n), hebben gebruikt",to use,
357," kiezen, koos, kozen, hebben gekozen",to choose,
358, niks,nothing,
359," noemen, noemde(n), hebben genoemd",to call,
360," printen, printte(n), hebben geprint",to print,
361,"de soort, de soorten",kind,
362," spellen, spelde(n), hebben gespeld",to spell,
363, sterk(e),strong,
364,"het stuk, de stukken",piece,
365," trekken, trok(ken), hebben/zijn getrokken",to pull,
366," voorstellen, stelde(n) voor, hebben voorgesteld",to introduce,
368, ,,4.6 Woorden
369, anders,different,
370,een beetje,bit,
371," betekenen, betekende(n), hebben betekend",to mean,
372, daar,there,
373, daarom,therefore,
374, hetzelfde,the same,
375, hier,here,
376,"de meter, de meters",meter,
377, nat(te),wet,
378, oké,okay,
379," roepen, riep(en), hebben geroepen",to shout,
380," zeggen, zei(den), hebben gezegd",to say,
381, ,,4.7 Woorden
382, bang(e),afraid,
383," bedenken, bedacht(en), hebben bedacht",to devise,
384, belangrijk(e),important,
385," blijven, bleef, bleven, zijn gebleven",to remain,
386,"de brand, de branden",fire,
387, gek(ke),crazy,
388, jammer,pity,
389, klaar,ready,
390," koken, kookte(n), hebben gekookt",to cook,
391,"het midden, de middens",middle,
392, normaal / normale,normal,
393," zoeken, zocht(en), hebben gezocht",to search,
